from,to,type
AHR,AHR,2
NFIC,AHR,1
FOS,AHR,2
KLF4,FOXF1,1
JUN,JUN,1
SMAD3,JUN,1
KLF4,JUN,1
MITF,JUN,2
SMAD4,JUN,1
MAFB,MAFB,1
NR3C1,MAFB,1
NR3C1,NR2F1,1
KLF4,NR2F1,1
NFIC,NR2F1,1
FOS,NR2F1,2
AHR,NR3C1,1
JUN,NR3C1,1
SMAD3,NR3C1,1
NFIC,NR3C1,1
FOS,NR3C1,2
AHR,SMAD3,1
JUN,SMAD3,1
NR3C1,SMAD3,1
NFIC,SMAD3,1
FOS,SMAD3,2
STAT5A,STAT5A,1
MITF,STAT5A,1
SMAD3,TBX3,1
TBX3,TBX3,1
KLF4,TBX3,1
NFIC,TBX3,1
JUN,TFE3,1
TFE3,TFE3,2
NFIC,TFE3,1
MITF,TFE3,2
FOS,TFE3,2
AHR,KLF4,1
JUN,KLF4,1
NR3C1,KLF4,1
SMAD3,KLF4,1
TBX3,KLF4,1
MITF,KLF4,2
NR3C1,NFIC,1
MITF,NFIC,2
NR3C1,ETV5,2
ETV5,ETV5,1
MITF,ETV5,1
AHR,MITF,2
JUN,MITF,2
NR3C1,MITF,1
SMAD3,MITF,2
KLF4,MITF,2
MITF,MITF,1
SMAD4,MITF,1
NR3C1,SMAD4,2
NR2F1,TFAP2A,1
MITF,TFAP2A,1
AHR,FOS,2
NR3C1,FOS,2
SMAD3,FOS,1
NFIC,FOS,2
MITF,FOS,1
SMAD4,FOS,1
FOS,FOS,2
